  M    Peri. Node   Incl.  e      a 
  4.2  121.6  95.9   2.6 0.107  44.2
308.9  226.2  51.4   4.2 0.048  42.9
257.4  183.3 141.5   1.7 0.023  44.0
266.0  286.9  35.4  29.2 0.091  41.6
 70.8  107.7  32.5  22.4 0.077  44.4
326.4  233.7  44.5  10.4 0.205  39.6
333.4  230.0  42.5  16.8 0.272  39.8
 23.1  153.6  35.7  13.4 0.234  39.7
 38.6   76.3  96.1   2.4 0.140  39.6
 64.6  104.3  35.8  14.6 0.158  39.8
 33.2  138.0  31.4   3.9 0.261  39.6
110.2   68.8  40.7   2.3 0.024  43.5
102.8    3.6  89.3   2.7 0.168  42.5
347.5  180.7  63.5   1.1 0.259  48.5
348.4   35.2 219.3   6.6 0.351  48.3
236.7  155.4 203.3   2.0 0.168  49.0
 30.6  152.8  39.1  24.2 0.066  39.0
 18.2  133.3  42.0   3.0 0.246  44.0
290.7   45.4 244.6   9.4 0.198  41.4
299.5  293.7 322.9  13.1 0.145  43.5
 93.1  203.2 251.3   6.8 0.184  39.9
 39.9  175.3 320.8  15.6 0.065  46.0
258.3   11.4 301.6   1.5 0.041  44.4
282.3  341.2 285.2  14.0 0.219  48.2
151.2   95.7 290.5   9.8 0.111  44.2
313.5  352.8 267.6   8.2 0.200  32.0
 29.6   20.0 169.2   2.6 0.063  45.6
338.1  212.5 311.0   8.4 0.138  47.4
179.5  260.0  73.7   5.3 0.223  39.4
 12.4  278.7 193.9   6.6 0.208  43.6
  1.6  308.7 190.1   2.6 0.163  46.5
300.9    4.4 118.5  15.4 0.166  43.4
319.9  276.9 223.7  30.0 0.225  47.6
211.6  130.9  90.0   4.2 0.053  43.5
 56.7  168.6 178.4   2.5 0.165  42.0
149.2   85.0 180.5   9.0 0.118  42.5
184.5  286.7 283.2  16.2 0.035  43.7
152.6  281.3 320.5  16.4 0.132  47.2
 53.8   56.8 280.1  16.6 0.099  42.6
135.4  331.9 289.9  16.5 0.039  41.3
354.4   70.8 341.3  20.1 0.154  42.9
 52.7   53.0 287.6  16.2 0.056  43.3
343.9  148.2 272.1  19.3 0.113  40.4
147.4  345.9 255.0  23.8 0.194  39.2
  7.3  130.2 261.8  21.9 0.221  39.1
340.5   93.2 318.5   7.9 0.106  43.1
310.2  304.9 152.0   5.6 0.117  45.8
 57.2  189.7 114.5   9.6 0.139  39.2
  3.1  259.0 131.8   9.6 0.193  42.0
  8.4  150.4 214.6  18.0 0.138  46.8
323.5  122.1 161.8  11.6 0.242  48.1
 19.0  127.5  66.8  18.8 0.253  41.3
 66.4  165.2 329.2   6.6 0.274  48.1
246.1  291.4  47.7  16.5 0.016  40.8
 11.8   36.7 235.0   3.0 0.104  44.7
322.2   21.5 266.4  10.9 0.092  43.3
  2.9   82.8 134.5  16.5 0.171  46.9
 87.6   44.1  48.5   9.7 0.186  39.6
355.9  144.1  56.6   3.2 0.041  43.1
286.4  201.0  67.0   2.8 0.027  43.0
  0.2  189.0   9.7  13.1 0.274  48.3
355.7  357.5 209.7  19.0 0.040  41.3
285.0   72.8 150.6  17.0 0.037  43.3
340.6  192.3   3.8   7.1 0.173  42.4
314.3  158.7  66.7   7.9 0.202  44.1
 11.9  339.0 176.7  12.2 0.200  47.0
  9.8  191.4 335.3  11.2 0.196  45.8
345.5  121.5  12.9   9.5 0.192  39.5
 91.9   83.5 256.5  13.7 0.089  41.3
 21.9   83.3 292.3   5.4 0.129  36.3
  7.0   27.0   9.8   6.8 0.129  36.2
358.6   18.9  16.0   7.9 0.032  43.0
224.4  315.7 216.8  29.8 0.077  44.4
 76.6   63.7 219.3  11.6 0.305  48.5
360.0    7.7  25.4  23.2 0.167  39.3
 75.3   78.4 224.3  17.9 0.183  47.8
293.6  118.0   5.1   2.6 0.159  47.6
347.0   54.5  15.3  17.9 0.310  49.7
 92.5  271.5  21.2  27.8 0.129  37.8
215.2  328.7 216.3  20.5 0.060  38.8
 37.8  122.4 231.7  10.8 0.129  45.1
 93.2   57.4 239.4  10.4 0.085  42.8
 24.9  150.2 218.9  26.4 0.089  40.5
221.9  154.3  27.1  29.8 0.032  41.8
297.3   96.3  21.6  15.1 0.115  42.3
 57.8   23.3 303.8   2.5 0.154  46.2
168.7  277.7 313.8   2.1 0.017  44.8
173.0    6.5 218.1  22.9 0.116  43.3
301.3  104.8 358.4   5.5 0.050  45.1
 28.1   30.8 337.4   3.1 0.067  43.1
130.4  246.7  14.6  15.3 0.064  43.3
359.7  146.6 252.5   3.0 0.143  46.0
 90.4  347.5 315.1   1.2 0.055  45.3
299.1  157.8 309.3   1.9 0.062  44.0
 55.0  313.2  24.2   7.2 0.097  42.2
304.3   96.1  18.5   4.5 0.164  43.6
